Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
9/16/2025 7:43 AM,HKLM\System\CurrentControlSet\Control\Session Manager\BootExecute,,,"Boot Execute",System-wide,,,,,,,,,,,,
8/23/1993 5:25 AM,"HKLM\System\CurrentControlSet\Control\Session Manager\BootExecute","autocheck autochk *",enabled,"Boot Execute",System-wide,"Auto Check Utility","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\autochk.exe",10.0.19041.3636,"autocheck autochk *",EA210FC84E0DCAB976699B0E2D20657F,1A7420C80605AF7E8F557230FCA461D61FA9E74C,9D98880EFCC76E68785D976C0A24E21B52297281,90D2597BA24C6200E7BDA3EDAE21D64B7A5C3A7DA8E2F7C7AB9D561D7A39B330,0D4F24EF67633905FEF79C82AABFA2D110C4AD5663FA2014069B4CAF90C13D0A,56D03E5EB3DD56E79A7C7EEDB8650FB8
9/16/2025 7:52 AM,HKLM\System\CurrentControlSet\Services,,,"Services",System-wide,,,,,,,,,,,,
5/7/2016 2:16 PM,"HKLM\System\CurrentControlSet\Services","AarSvc",enabled,"Services",System-wide,"Agent Activation Runtime: Runtime for activating conversational agent applications","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\aarsvc.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k AarSvcGroup -p",B95F718CAE97DF4993D7552325A21B7A,DDB5C0D0FE694516DB7B82D3A3B1EFB8D54BF9BA,6B284B30B8EB1EAC96982FB3D1D0460C31823EA5,DB488B2F9680F8A13CAD632B304EDBA3402F87C953090D741DD926E2F048A0DA,B81B6A02F09E43B28E0C92576D008CC6634FC82487A20F9F46B6E65D92F37AA6,D8CA74BB6D5BE179BE2E3C6DF86DABC9
8/31/1979 4:20 PM,"HKLM\System\CurrentControlSet\Services","AarSvc_4ddc4",enabled,"Services",System-wide,"Agent Activation Runtime_4ddc4: Runtime for activating conversational agent applications","(Verified) Microsoft Windows Publisher","Microsoft Corporation","c:\windows\system32\svchost.exe",10.0.19041.3636,"C:\Windows\system32\svchost.exe -k AarSvcGroup -p",145DCF6706EEEA5B066885EE17964C09,445F5F38365AF88EC29B357F4696F0E3EE50A1D8,62C3EE3A4FD8DE225271111639EE602CD14B25BD,40EA10CDF850D3684F6FB062EBC10D63E702AE93107C7F25B40063293C32FC17,F13DE58416730D210DAB465B242E9C949FB0A0245EEF45B07C381F0C6C8A43C3,247B9220E5D9B720A82B2C8B5069AD69
4/26/1997 2:38 AM,"HKLM\System\CurrentControlSet\Services","AJRouter",enabled,"Services",System-wide,"AllJoyn Router Service: Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\ajrouter.dll",10.0.19041.1,"%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p",526FE18DB976D9A1AE19FBC53FA690B1,8A078F772DE666278000B842EAEF09A4A3F3857D,A635FFB5304A7B532B5838941C66545F7A2F75BC,E4B706EAC7DE85131AE2E11FF39E30E129256D69829D37B808E42DFA4D1F9183,4E2623243A9BB61F7211E591C24EDB70B07974A7FA21E3F14C683F27E975777F,271ED6BE2B719A2DD199A26D9A18977E
12/28/2024 1:29 AM,"HKLM\System\CurrentControlSet\Services","ALG",enabled,"Services",System-wide,"Application Layer Gateway Service: Provides support for 3rd party protocol plug-ins for Internet Connection Sharing","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\alg.exe",10.0.19041.3636,"%SystemRoot%\System32\alg.exe",D002E288353219E3F1D9253C36EFFCBC,04CBC9A3B308F31366EDAD7ECD730B4842D526F9,791316C403AADF723EAA2CCC379280888194F259,3047814C4C263ECAD35956CDCB1590F70685D58F6DDD6FE47ABB04559D273FD3,3C3205B21D5C6C086E48DB00052CB9CCB9EFB211D32DC506681C38D949C1DC88,F718D257CB3A4BBBE8310FA60E7D1DED
12/22/1938 6:17 AM,"HKLM\System\CurrentControlSet\Services","AppIDSvc",enabled,"Services",System-wide,"Application Identity: Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appidsvc.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k LocalServiceNetworkRestricted -p",341EA8D42BF96082E6EF5ADD787DFE97,7F882BDB8C24D7AF8E042ACA15C1ED6A08267974,25C9CA684116DBE1432B584D5D2104E9FE22F663,0489330BA726B21BBF2476098558E1121D65DD3EE5E469544BBE5B166811BFFD,69E2D446D9849F7FA4FD59E3A79AFBA0993BF86C6AE9F708F135DB49E2D77D1C,1EA898E112C43145FC990B06A9BC53D9
2/19/1980 3:37 PM,"HKLM\System\CurrentControlSet\Services","Appinfo",enabled,"Services",System-wide,"Application Information: Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appinfo.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k netsvcs -p",A08BC4BD44866812ADD98AB044C7D5E4,E09EBEDD1DCB62B7356FAD15D4A3B2F0CBA2D4B8,3D408FAA48A4475BB36F4A7CF2582F75133A622F,F30B646912E924DE016C3CEB8E90BFA6DC2B9B721E55CEF8B698675E17A19FA3,E6E1FBA0EC9D7717F675D445787241F3DE1FA62586BFD0E67221A688243199FA,7EC388D299495EEA06B439799B57995C
6/22/1986 5:53 PM,"HKLM\System\CurrentControlSet\Services","AppMgmt",enabled,"Services",System-wide,"Application Management: Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will fail to start.","(Verified) Microsoft Windows","Microsoft Corporation","c:\windows\system32\appmgmts.dll",10.0.19041.3636,"%SystemRoot%\system32\svchost.exe -k netsvcs -p",91869EFEDC4217261850E6C2B8F42460,3E854B5EF79030E122527C6590732F38083C5635,2E5756AC50FAE1F6D9E49708E5707ED07B59A371,70DF09BC873C1B587E17E8E654B75FE02289291BB2AA5CD7E0F44D0A3148EE62,C3F02BB338EEEF8CD52A58789ED518FD4041C41D5C8620C822C3E0A9FF6C3E81,454B6335D855F07D29C5C2C5EEDCD3BD
